city_1	city_2	city_3	city_4	city_5	city_6	city_7	city_8	city_9	city_10	city_11	city_12	city_13	city_14	city_15	city_16	city_17
city_1	0.0	622.781674319199	265.9960299058209	55.799321541288485	416.6833203249925	150.52823583274377	68.74782564448027	116.52543835109333	264.4733179465752	492.2493017968336	357.9111831037557	322.9693529847867	77.97787461341676	199.7442023471114	270.3827775094784	261.4911373219	120.70885693071848
city_2	622.781674319199	0.0	392.37744940357493	596.9519211641862	210.60956061001718	475.3434048382389	554.5672449567461	507.397772642353	549.4500499056828	183.44841555563528	273.19345972832065	612.6365160171046	549.9614389544143	443.0562132203263	397.7920044422253	755.9109931709636	502.33954597686727
city_3	265.9960299058209	392.37744940357493	0.0	265.30796671651996	220.66677079892023	124.04335901670584	200.98771974798646	157.20806603845574	358.02778986042847	234.50473843700797	122.27003269429927	440.22131549876997	215.37226676452087	66.5744862321765	14.015608573725181	485.289668151784	157.72000941826948
city_4	55.799321541288485	596.9519211641862	265.30796671651996	0.0	387.5967050381678	141.77358189672694	69.4633949695781	108.10657084945213	208.70250704200694	479.39067589368966	341.1968174827356	268.89055411866127	50.755898579816694	199.4269465395617	272.35126161285365	230.13324149586904	108.08898879429663
city_5	416.6833203249925	210.60956061001718	220.66677079892023	387.5967050381678	0.0	274.08522631850843	349.61747507947564	303.740859545455	350.8931568467877	162.2892440401717	105.38495468329204	422.0675013227851	341.85412128334576	253.80203967992122	230.90590948465078	549.0395072917327	297.74865939374564
city_6	150.52823583274377	475.3434048382389	124.04335901670584	141.77358189672694	274.08522631850843	0.0	82.00307601086561	34.65685436479307	260.49428596161965	342.065289146258	207.54289893139233	339.9213079745705	91.44475946122442	60.03262398159494	132.13466788056456	362.4927531539488	33.74502795050248
city_7	68.74782564448027	554.5672449567461	200.98771974798646	69.4633949695781	349.61747507947564	82.00307601086561	0.0	47.78405826405218	247.66698549704392	424.0357654826921	289.1884222473909	318.1376919160424	34.65324103125044	134.4197653892295	206.72542177631152	299.4573477446023	52.22781116187991
city_8	116.52543835109333	507.397772642353	157.20806603845574	108.10657084945213	303.740859545455	34.65685436479307	47.78405826405218	0.0	247.84710740461367	376.59549736397656	241.40650953157953	324.4631465131982	58.722366476334976	91.44974066257834	164.36424842048862	332.43942559106245	8.942212798101686
city_9	264.4733179465752	549.4500499056828	358.02778986042847	208.70250704200694	350.8931568467877	260.49428596161965	247.66698549704392	247.84710740461367	0.0	495.37690090462195	364.5899388404879	82.28054875104723	213.14910371840853	312.1865284915137	370.69481209552504	217.94217404559924	240.22571280853236
city_10	492.2493017968336	183.44841555563528	234.50473843700797	479.39067589368966	162.2892440401717	342.065289146258	424.0357654826921	376.59549736397656	495.37690090462195	0.0	139.71298200827923	571.9419909405756	428.9604838364501	295.8787407464525	235.91335911441973	674.4832367560587	373.9371655870821
city_11	357.9111831037557	273.19345972832065	122.27003269429927	341.1968174827356	105.38495468329204	207.54289893139233	289.1884222473909	241.40650953157953	364.5899388404879	139.71298200827923	0.0	444.0863382024409	291.1827154299908	170.00793899508886	130.3400557595848	535.4945781935477	237.81585376715879
city_12	322.9693529847867	612.6365160171046	440.22131549876997	268.89055411866127	422.0675013227851	339.9213079745705	318.1376919160424	324.4631465131982	82.28054875104723	571.9419909405756	444.0863382024409	0.0	283.57818552592653	393.2241915113589	452.8221183575868	197.1027988990874	317.37273205313977
city_13	77.97787461341676	549.9614389544143	215.37226676452087	50.755898579816694	341.85412128334576	91.44475946122442	34.65324103125044	58.722366476334976	213.14910371840853	428.9604838364501	291.1827154299908	283.57818552592653	0.0	150.07165438958742	222.92414213541917	274.2679530144305	57.700528008971276
city_14	199.7442023471114	443.0562132203263	66.5744862321765	199.4269465395617	253.80203967992122	60.03262398159494	134.4197653892295	91.44974066257834	312.1865284915137	295.8787407464525	170.00793899508886	393.2241915113589	150.07165438958742	0.0	72.92865317597429	422.46576666936244	92.90682649946251
city_15	270.3827775094784	397.7920044422253	14.015608573725181	272.35126161285365	230.90590948465078	132.13466788056456	206.72542177631152	164.36424842048862	370.69481209552504	235.91335911441973	130.3400557595848	452.8221183575868	222.92414213541917	72.92865317597429	0.0	494.3558642974142	165.53072459317042
city_16	261.4911373219	755.9109931709636	485.289668151784	230.13324149586904	549.0395072917327	362.4927531539488	299.4573477446023	332.43942559106245	217.94217404559924	674.4832367560587	535.4945781935477	197.1027988990874	274.2679530144305	422.46576666936244	494.3558642974142	0.0	329.7785770410641
city_17	120.70885693071848	502.33954597686727	157.72000941826948	108.08898879429663	297.74865939374564	33.74502795050248	52.22781116187991	8.942212798101686	240.22571280853236	373.9371655870821	237.81585376715879	317.37273205313977	57.700528008971276	92.90682649946251	165.53072459317042	329.7785770410641	0.0
